time_s,radius_um,condition_id
0.21361815754339375,14.963302752293577,f0_93
10.040053404539385,11.977064220183486,f0_93
14.098798397863817,9.986238532110091,f0_93
20.293724966622165,7.931192660550458,f0_93
27.556742323097467,4.045871559633026,f0_93
0.21361815754339375,14.963302752293577,f1
10.360480640854483,15.003440366972477,f1
35.781041388518034,14.80275229357798,f1
55.754339118825115,14.7947247706422,f1
84.37917222963952,14.802752293577981,f1
106.38184245660881,14.891055045871559,f1
125.76769025367156,15.099770642201833,f1
145.84779706275035,14.987385321100918,f1
0.053404539385859096,14.939220183486237,f0_84
5.34045393858478,11.912844036697248,f0_84
10.040053404539385,6.967889908256881,f0_84
12.01602136181576,4.944954128440367,f0_84
13.244325767690256,2.440366972477065,f0_84
7.105427357601002e-15,14.963302752293577,f0_98
15.380507343124172,13.951834862385322,f0_98
62.002670226969286,10.636467889908257,f0_98
87.36982643524699,8.725917431192663,f0_98
114.01869158878506,6.422018348623855,f0_98
133.40453938584778,5.017201834862387,f0_98
148.09078771695593,2.408256880733946,f0_98
